condition,term,phenotype,age,n,n_values,mean,sd,q5,q25,q50,q75,q95
no_nvp,pregnancy_duration_term,weight,1y,33320,18310,9.95190107931753,1.12666402877115,8.22,9.17,9.9,10.66,11.9
no_nvp,pregnancy_duration_term,weight,16m,33320,13784,10.9306407786716,1.24984590393318,9.01794793788077,10.0502841470767,10.86,11.7009821565792,13.0662187053977
no_nvp,pregnancy_duration_term,weight,2y,33320,13763,12.9670341311755,1.53859387570747,10.6,11.97,12.9387243421959,14,15.6
no_nvp,pregnancy_duration_term,weight,3y,33320,14212,15.0667485933077,1.84278643603092,12.2,14,15,16,18.1034293233985
no_nvp,pregnancy_duration_term,weight,5y,33320,11522,19.9706622736531,2.80912636973052,16,18,19.9212923514452,21.5377008759696,25
no_nvp,pregnancy_duration_term,weight,7y,33320,11999,25.2028904455111,4.06968555435115,20,22.4,24.8,27.4,33
no_nvp,pregnancy_duration_term,weight,8y,33320,8996,28.4328172595951,4.77061483795782,22,25,28,31,37
no_nvp,pregnancy_duration_term,bmi,birth,33320,32120,14.1390795600733,1.29785442252107,12.0745720914246,13.2775074919474,14.1191170345689,14.9739583333333,16.3091715976331
no_nvp,pregnancy_duration_term,bmi,6w,33320,14851,15.5769445455659,1.42586400135054,13.2723877673605,14.6297937581133,15.5586334256694,16.4982164090369,17.9547132198198
no_nvp,pregnancy_duration_term,bmi,3m,33320,20691,16.5726254066,1.50610389191184,14.24560546875,15.5356260151119,16.5,17.5237000861821,19.12455256045
